maxAge,totalEsg,environmentScore,socialScore,governanceScore,ratingYear,ratingMonth,highestControversy,peerCount,esgPerformance,peerGroup,relatedControversy,peerEsgScorePerformance,peerGovernancePerformance,peerSocialPerformance,peerEnvironmentPerformance,peerHighestControversyPerformance,percentile,environmentPercentile,socialPercentile,governancePercentile,adult,alcoholic,animalTesting,catholic,controversialWeapons,smallArms,furLeather,gambling,gmo,militaryContract,nuclear,pesticides,palmOil,coal,tobacco,company_ticker
86400,40.71,17.19,16.69,6.84,2024,11,5.0,11,LEAD_PERF,Industrial Conglomerates,['Operations Incidents'],"{'min': 27.12, 'avg': 38.39636363636364, 'max': 56.3}","{'min': 2.93, 'avg': 6.032499999999999, 'max': 8.08}","{'min': 9.71, 'avg': 14.7975, 'max': 20.15}","{'min': 10.26, 'avg': 16.255000000000003, 'max': 20.62}","{'min': 0.0, 'avg': 1.3636363636363635, 'max': 5.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,MMM
86400,18.28,0.13,9.7,8.45,2024,11,2.0,134,LAG_PERF,Diversified Financials,['Customer Incidents;Business Ethics Incidents'],"{'min': 10.48, 'avg': 25.407388059701496, 'max': 42.55}","{'min': 4.99, 'avg': 10.423114754098362, 'max': 19.02}","{'min': 5.46, 'avg': 9.919016393442625, 'max': 14.14}","{'min': 0.0, 'avg': 1.503934426229508, 'max': 3.88}","{'min': 0.0, 'avg': 0.8731343283582089, 'max': 4.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,AXP
86400,22.76,1.83,14.88,6.05,2024,11,3.0,321,AVG_PERF,Pharmaceuticals,['Business Ethics Incidents'],"{'min': 10.47, 'avg': 27.820747663551387, 'max': 41.35}","{'min': 3.07, 'avg': 6.085932203389832, 'max': 9.68}","{'min': 4.31, 'avg': 13.172711864406775, 'max': 27.87}","{'min': 0.15, 'avg': 1.9520338983050844, 'max': 6.95}","{'min': 0.0, 'avg': 0.5327102803738317, 'max': 4.0}",,,,,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,AMGN
86400,29.01,6.32,14.83,7.86,2024,11,3.0,115,AVG_PERF,Retailing,['Employee Incidents;Social Supply Chain Incidents;Customer Incidents'],"{'min': 7.62, 'avg': 18.028347826086957, 'max': 32.7}","{'min': 1.74, 'avg': 4.190400000000001, 'max': 9.16}","{'min': 4.13, 'avg': 9.159999999999998, 'max': 14.83}","{'min': 0.16, 'avg': 3.8134, 'max': 10.7}","{'min': 0.0, 'avg': 1.2260869565217392, 'max': 3.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,AMZN
86400,16.79,0.55,7.52,8.72,2024,11,3.0,106,LAG_PERF,Technology Hardware,['Customer Incidents;Social Supply Chain Incidents;Business Ethics Incidents'],"{'min': 4.46, 'avg': 15.118584905660377, 'max': 27.77}","{'min': 1.43, 'avg': 4.303333333333335, 'max': 8.72}","{'min': 1.4, 'avg': 5.2794871794871785, 'max': 11.29}","{'min': 0.17, 'avg': 2.572307692307692, 'max': 10.47}","{'min': 0.0, 'avg': 0.8018867924528302, 'max': 3.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,AAPL
86400,36.55,7.9,22.18,6.47,2024,11,4.0,34,LEAD_PERF,Aerospace & Defense,['Customer Incidents'],"{'min': 20.1, 'avg': 33.39588235294117, 'max': 45.92}","{'min': 2.67, 'avg': 6.334761904761905, 'max': 8.73}","{'min': 9.17, 'avg': 15.865238095238093, 'max': 22.18}","{'min': 2.38, 'avg': 9.073809523809524, 'max': 12.11}","{'min': 0.0, 'avg': 1.2058823529411764, 'max': 4.0}",,,,,False,False,False,,True,False,False,False,False,True,False,False,False,False,False,BA
86400,28.33,10.17,11.77,6.39,2024,11,2.0,90,AVG_PERF,Machinery,['Society & Community Incidents;Employee Incidents;Customer Incidents'],"{'min': 10.6, 'avg': 26.262666666666664, 'max': 37.49}","{'min': 2.1, 'avg': 4.879166666666669, 'max': 7.45}","{'min': 5.09, 'avg': 11.295277777777777, 'max': 16.93}","{'min': 2.15, 'avg': 7.362500000000001, 'max': 13.79}","{'min': 0.0, 'avg': 0.8777777777777778, 'max': 3.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,CAT
86400,35.31,16.58,9.37,9.36,2024,11,3.0,68,LEAD_PERF,Oil & Gas Producers,['Society & Community Incidents;Operations Incidents'],"{'min': 7.58, 'avg': 41.8660294117647, 'max': 58.55}","{'min': 3.23, 'avg': 6.450714285714286, 'max': 9.36}","{'min': 1.35, 'avg': 8.652142857142858, 'max': 12.73}","{'min': 0.3, 'avg': 20.800357142857145, 'max': 28.61}","{'min': 0.0, 'avg': 1.338235294117647, 'max': 3.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,CVX
86400,12.91,0.4,7.64,4.87,2024,11,2.0,106,LAG_PERF,Technology Hardware,['Customer Incidents;Business Ethics Incidents;Social Supply Chain Incidents'],"{'min': 4.46, 'avg': 15.118584905660377, 'max': 27.77}","{'min': 1.43, 'avg': 4.303333333333335, 'max': 8.72}","{'min': 1.4, 'avg': 5.2794871794871785, 'max': 11.29}","{'min': 0.17, 'avg': 2.572307692307692, 'max': 10.47}","{'min': 0.0, 'avg': 0.8018867924528302, 'max': 3.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,CSCO
86400,24.16,9.24,10.56,4.35,2024,11,3.0,68,AVG_PERF,Food Products,['Employee Incidents;Business Ethics Incidents;Operations Incidents;Social Supply Chain Incidents'],"{'min': 13.64, 'avg': 31.260735294117648, 'max': 49.94}","{'min': 1.82, 'avg': 4.678285714285713, 'max': 9.78}","{'min': 4.84, 'avg': 11.848000000000003, 'max': 19.33}","{'min': 3.79, 'avg': 11.88314285714286, 'max': 21.46}","{'min': 0.0, 'avg': 1.5735294117647058, 'max': 4.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,KO
86400,15.14,0.09,9.09,5.96,2024,11,2.0,61,LAG_PERF,Media,['Social Supply Chain Incidents;Business Ethics Incidents;Society & Community Incidents;Governance Incidents;Customer Incidents;Employee Incidents'],"{'min': 8.69, 'avg': 16.97491803278689, 'max': 24.88}","{'min': 3.79, 'avg': 6.926799999999999, 'max': 10.86}","{'min': 4.43, 'avg': 7.981600000000002, 'max': 10.27}","{'min': 0.03, 'avg': 0.5912, 'max': 2.69}","{'min': 0.0, 'avg': 1.360655737704918, 'max': 3.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,DIS
86400,25.22,0.75,13.47,11.01,2024,11,2.0,134,AVG_PERF,Diversified Financials,['Society & Community Incidents;Customer Incidents;Business Ethics Incidents;Employee Incidents'],"{'min': 10.48, 'avg': 25.407388059701496, 'max': 42.55}","{'min': 4.99, 'avg': 10.423114754098362, 'max': 19.02}","{'min': 5.46, 'avg': 9.919016393442625, 'max': 14.14}","{'min': 0.0, 'avg': 1.503934426229508, 'max': 3.88}","{'min': 0.0, 'avg': 0.8731343283582089, 'max': 4.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,GS
86400,12.85,3.59,6.1,3.16,2024,11,2.0,115,LAG_PERF,Retailing,['Operations Incidents;Employee Incidents;Customer Incidents;Social Supply Chain Incidents'],"{'min': 7.62, 'avg': 18.028347826086957, 'max': 32.7}","{'min': 1.74, 'avg': 4.190400000000001, 'max': 9.16}","{'min': 4.13, 'avg': 9.159999999999998, 'max': 14.83}","{'min': 0.16, 'avg': 3.8134, 'max': 10.7}","{'min': 0.0, 'avg': 1.2260869565217392, 'max': 3.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,HD
86400,27.12,10.26,9.71,7.16,2024,11,3.0,11,AVG_PERF,Industrial Conglomerates,['Operations Incidents;Society & Community Incidents'],"{'min': 27.12, 'avg': 38.39636363636364, 'max': 56.3}","{'min': 2.93, 'avg': 6.032499999999999, 'max': 8.08}","{'min': 9.71, 'avg': 14.7975, 'max': 20.15}","{'min': 10.26, 'avg': 16.255000000000003, 'max': 20.62}","{'min': 0.0, 'avg': 1.3636363636363635, 'max': 5.0}",,,,,False,False,False,,True,False,False,False,False,True,False,False,False,False,False,HON
86400,13.27,1.58,6.68,5.01,2024,11,2.0,325,LAG_PERF,Software & Services,['Employee Incidents;Customer Incidents'],"{'min': 11.43, 'avg': 21.051784615384616, 'max': 32.73}","{'min': 2.27, 'avg': 5.809865771812083, 'max': 11.74}","{'min': 4.89, 'avg': 9.81664429530202, 'max': 21.64}","{'min': 0.28, 'avg': 2.969932885906042, 'max': 6.25}","{'min': 0.0, 'avg': 0.8092307692307692, 'max': 4.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,IBM
86400,20.1,0.94,13.03,6.13,2024,11,4.0,321,AVG_PERF,Pharmaceuticals,['Customer Incidents'],"{'min': 10.47, 'avg': 27.820747663551387, 'max': 41.35}","{'min': 3.07, 'avg': 6.085932203389832, 'max': 9.68}","{'min': 4.31, 'avg': 13.172711864406775, 'max': 27.87}","{'min': 0.15, 'avg': 1.9520338983050844, 'max': 6.95}","{'min': 0.0, 'avg': 0.5327102803738317, 'max': 4.0}",,,,,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,JNJ
86400,27.51,2.37,14.35,10.79,2024,11,3.0,267,AVG_PERF,Banks,['Business Ethics Incidents;Customer Incidents'],"{'min': 13.7, 'avg': 28.70700374531836, 'max': 38.66}","{'min': 6.71, 'avg': 10.584878048780487, 'max': 18.2}","{'min': 5.72, 'avg': 10.512439024390241, 'max': 14.68}","{'min': 0.78, 'avg': 1.8870731707317074, 'max': 3.84}","{'min': 0.0, 'avg': 0.599250936329588, 'max': 5.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,JPM
86400,25.93,8.33,12.97,4.64,2024,11,3.0,98,AVG_PERF,Consumer Services,['Business Ethics Incidents;Customer Incidents;Employee Incidents'],"{'min': 11.31, 'avg': 24.958979591836744, 'max': 37.34}","{'min': 2.56, 'avg': 5.727435897435897, 'max': 14.78}","{'min': 6.37, 'avg': 10.690512820512819, 'max': 15.51}","{'min': 0.26, 'avg': 6.112051282051281, 'max': 13.25}","{'min': 0.0, 'avg': 1.4081632653061225, 'max': 3.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,MCD
86400,19.96,2.89,11.4,5.67,2024,11,2.0,321,LAG_PERF,Pharmaceuticals,['Customer Incidents;Society & Community Incidents'],"{'min': 10.47, 'avg': 27.820747663551387, 'max': 41.35}","{'min': 3.07, 'avg': 6.085932203389832, 'max': 9.68}","{'min': 4.31, 'avg': 13.172711864406775, 'max': 27.87}","{'min': 0.15, 'avg': 1.9520338983050844, 'max': 6.95}","{'min': 0.0, 'avg': 0.5327102803738317, 'max': 4.0}",,,,,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,MRK
86400,14.23,1.65,7.62,4.96,2024,11,3.0,325,LAG_PERF,Software & Services,['Customer Incidents'],"{'min': 11.43, 'avg': 21.051784615384616, 'max': 32.73}","{'min': 2.27, 'avg': 5.809865771812083, 'max': 11.74}","{'min': 4.89, 'avg': 9.81664429530202, 'max': 21.64}","{'min': 0.28, 'avg': 2.969932885906042, 'max': 6.25}","{'min': 0.0, 'avg': 0.8092307692307692, 'max': 4.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,MSFT
86400,18.71,3.04,10.07,5.6,2024,11,3.0,25,LAG_PERF,Textiles & Apparel,['Employee Incidents;Social Supply Chain Incidents'],"{'min': 7.89, 'avg': 15.8684, 'max': 24.54}","{'min': 1.96, 'avg': 4.9159999999999995, 'max': 8.38}","{'min': 4.67, 'avg': 8.568000000000001, 'max': 10.66}","{'min': 0.57, 'avg': 1.9680000000000004, 'max': 5.53}","{'min': 0.0, 'avg': 1.52, 'max': 3.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,NKE
86400,12.9,2.45,4.45,6.0,2024,11,2.0,69,LAG_PERF,Semiconductors,['Customer Incidents'],"{'min': 11.56, 'avg': 22.519710144927533, 'max': 43.28}","{'min': 3.4, 'avg': 5.006296296296296, 'max': 7.82}","{'min': 3.09, 'avg': 5.787407407407407, 'max': 8.42}","{'min': 2.45, 'avg': 7.294074074074073, 'max': 17.41}","{'min': 0.0, 'avg': 0.6666666666666666, 'max': 3.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,NVDA
86400,25.06,8.46,11.06,5.54,2024,11,2.0,20,AVG_PERF,Household Products,['Social Supply Chain Incidents;Environmental Supply Chain Incidents;Operations Incidents;Customer Incidents'],"{'min': 20.03, 'avg': 27.220999999999997, 'max': 38.01}","{'min': 3.59, 'avg': 5.5169999999999995, 'max': 7.9}","{'min': 8.32, 'avg': 10.162, 'max': 12.51}","{'min': 5.59, 'avg': 9.971, 'max': 15.3}","{'min': 0.0, 'avg': 1.25, 'max': 2.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,PG
86400,14.97,2.05,8.15,4.78,2024,11,2.0,325,LAG_PERF,Software & Services,['Employee Incidents'],"{'min': 11.43, 'avg': 21.051784615384616, 'max': 32.73}","{'min': 2.27, 'avg': 5.809865771812083, 'max': 11.74}","{'min': 4.89, 'avg': 9.81664429530202, 'max': 21.64}","{'min': 0.28, 'avg': 2.969932885906042, 'max': 6.25}","{'min': 0.0, 'avg': 0.8092307692307692, 'max': 4.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,CRM
86400,29.38,14.87,10.17,4.34,2024,11,2.0,68,AVG_PERF,Chemicals,['Operations Incidents;Customer Incidents;Society & Community Incidents'],"{'min': 11.63, 'avg': 28.52544117647059, 'max': 44.8}","{'min': 2.09, 'avg': 4.714375, 'max': 8.34}","{'min': 1.31, 'avg': 6.5990625000000005, 'max': 14.31}","{'min': 8.24, 'avg': 14.202812499999997, 'max': 19.94}","{'min': 0.0, 'avg': 1.1470588235294117, 'max': 4.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,SHW
86400,20.55,0.78,10.54,9.23,2024,11,1.0,85,AVG_PERF,Insurance,['Product & Service Incidents;Customer Incidents;Business Ethics Incidents;Employee Incidents'],"{'min': 11.39, 'avg': 24.787058823529406, 'max': 38.43}","{'min': 5.0, 'avg': 9.921162790697677, 'max': 14.52}","{'min': 5.46, 'avg': 9.79953488372093, 'max': 13.04}","{'min': 0.07, 'avg': 1.4497674418604651, 'max': 2.82}","{'min': 0.0, 'avg': 0.9176470588235294, 'max': 2.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,TRV
86400,16.54,0.12,11.89,4.54,2024,11,4.0,171,LAG_PERF,Healthcare,['Customer Incidents'],"{'min': 9.99, 'avg': 24.382163742690043, 'max': 36.09}","{'min': 3.65, 'avg': 6.241206896551724, 'max': 10.56}","{'min': 5.33, 'avg': 12.782931034482756, 'max': 22.35}","{'min': 0.04, 'avg': 2.7308620689655165, 'max': 5.82}","{'min': 0.0, 'avg': 0.9181286549707602, 'max': 4.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,UNH
86400,19.32,4.13,10.13,5.07,2024,11,3.0,27,LAG_PERF,Telecommunication Services,['Operations Incidents'],"{'min': 16.64, 'avg': 27.94925925925926, 'max': 40.92}","{'min': 2.38, 'avg': 5.2250000000000005, 'max': 8.13}","{'min': 7.45, 'avg': 11.643333333333333, 'max': 15.83}","{'min': 3.01, 'avg': 4.973333333333333, 'max': 9.4}","{'min': 0.0, 'avg': 1.2962962962962963, 'max': 3.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,VZ
86400,15.39,1.93,8.27,5.18,2024,11,3.0,325,LAG_PERF,Software & Services,['Customer Incidents'],"{'min': 11.43, 'avg': 21.051784615384616, 'max': 32.73}","{'min': 2.27, 'avg': 5.809865771812083, 'max': 11.74}","{'min': 4.89, 'avg': 9.81664429530202, 'max': 21.64}","{'min': 0.28, 'avg': 2.969932885906042, 'max': 6.25}","{'min': 0.0, 'avg': 0.8092307692307692, 'max': 4.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,V
86400,20.85,5.16,9.85,5.83,2024,11,3.0,23,AVG_PERF,Food Retailers,['Customer Incidents'],"{'min': 13.86, 'avg': 22.462608695652168, 'max': 33.81}","{'min': 2.15, 'avg': 4.412999999999999, 'max': 6.5}","{'min': 6.07, 'avg': 10.342, 'max': 15.8}","{'min': 1.92, 'avg': 6.977000000000001, 'max': 13.06}","{'min': 0.0, 'avg': 1.5217391304347827, 'max': 3.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,WMT
